<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBGB,D,20200106,000000,1174.4000000,1174.4000000,1162.0000000,1174.0000000,1288
SBGB,D,20200108,000000,1166.0000000,1177.4000000,1165.2000000,1177.4000000,3523
SBGB,D,20200109,000000,1170.4000000,1174.2000000,1162.0000000,1174.2000000,8283
SBGB,D,20200110,000000,1174.0000000,1180.2000000,1172.2000000,1180.2000000,1880
SBGB,D,20200113,000000,1180.8000000,1187.0000000,1180.2000000,1186.8000000,6742
SBGB,D,20200114,000000,1184.4000000,1185.4000000,1181.0000000,1184.4000000,15212
SBGB,D,20200115,000000,1190.0000000,1190.0000000,1180.6000000,1182.6000000,1911
SBGB,D,20200116,000000,1190.0000000,1190.0000000,1182.0000000,1183.4000000,112496
SBGB,D,20200117,000000,1190.0000000,1190.0000000,1180.2000000,1184.4000000,12607
SBGB,D,20200120,000000,1183.2000000,1186.2000000,1182.4000000,1185.4000000,4280
SBGB,D,20200121,000000,1183.6000000,1185.6000000,1181.0000000,1185.0000000,6780
SBGB,D,20200122,000000,1185.6000000,1185.6000000,1182.0000000,1185.0000000,3343
SBGB,D,20200123,000000,1181.6000000,1185.8000000,1181.6000000,1184.8000000,5719
SBGB,D,20200124,000000,1185.6000000,1187.6000000,1182.4000000,1185.2000000,11031
SBGB,D,20200127,000000,1186.8000000,1186.8000000,1178.6000000,1181.8000000,7522
SBGB,D,20200128,000000,1180.6000000,1183.2000000,1179.8000000,1181.0000000,9300
SBGB,D,20200129,000000,1183.2000000,1184.8000000,1180.2000000,1183.2000000,12507
SBGB,D,20200130,000000,1181.0000000,1186.6000000,1180.0000000,1183.0000000,3167
SBGB,D,20200131,000000,1185.0000000,1186.0000000,1183.2000000,1184.2000000,203027
SBGB,D,20200203,000000,1185.2000000,1185.2000000,1180.0000000,1183.4000000,9761
SBGB,D,20200204,000000,1179.0000000,1185.0000000,1177.2000000,1185.0000000,4428
SBGB,D,20200205,000000,1185.0000000,1187.4000000,1183.4000000,1187.4000000,15671
SBGB,D,20200206,000000,1187.0000000,1191.0000000,1185.4000000,1187.4000000,2139
SBGB,D,20200207,000000,1211.0000000,1211.0000000,1186.2000000,1190.6000000,155241
SBGB,D,20200210,000000,1195.0000000,1195.0000000,1186.8000000,1187.4000000,25924
SBGB,D,20200211,000000,1188.0000000,1192.8000000,1188.0000000,1192.8000000,6395
SBGB,D,20200212,000000,1195.0000000,1199.4000000,1190.4000000,1194.0000000,2995
SBGB,D,20200213,000000,1195.4000000,1197.0000000,1191.0000000,1191.0000000,8620
SBGB,D,20200214,000000,1191.8000000,1198.2000000,1191.8000000,1198.2000000,510496
SBGB,D,20200217,000000,1200.0000000,1200.4000000,1194.8000000,1200.0000000,4698
SBGB,D,20200218,000000,1198.2000000,1208.6000000,1197.0000000,1199.2000000,8488
SBGB,D,20200219,000000,1206.0000000,1208.2000000,1199.6000000,1202.0000000,6636
SBGB,D,20200220,000000,1204.0000000,1204.0000000,1202.0000000,1203.8000000,2534
SBGB,D,20200221,000000,1204.0000000,1210.0000000,1200.0000000,1204.6000000,296803
SBGB,D,20200225,000000,1200.8000000,1205.0000000,1195.6000000,1200.4000000,13176
SBGB,D,20200226,000000,1197.8000000,1198.0000000,1192.0000000,1195.2000000,9699
SBGB,D,20200227,000000,1190.4000000,1194.8000000,1188.0000000,1190.0000000,10536
SBGB,D,20200228,000000,1187.4000000,1187.4000000,1165.0000000,1170.8000000,23013
SBGB,D,20200302,000000,1173.2000000,1193.8000000,1149.4000000,1178.0000000,207468
SBGB,D,20200303,000000,1180.0000000,1186.8000000,1161.0000000,1185.0000000,12417
SBGB,D,20200304,000000,1187.0000000,1196.0000000,1180.2000000,1194.0000000,4512
SBGB,D,20200305,000000,1195.0000000,1200.8000000,1194.2000000,1194.2000000,10660
SBGB,D,20200306,000000,1200.0000000,1200.0000000,1170.4000000,1177.8000000,11450
SBGB,D,20200310,000000,1155.0000000,1155.0000000,1075.4000000,1145.0000000,7319
SBGB,D,20200311,000000,1144.6000000,1148.0000000,1133.2000000,1140.6000000,15162
SBGB,D,20200312,000000,1091.2000000,1140.4000000,1090.2000000,1090.2000000,14636
SBGB,D,20200313,000000,1068.4000000,1130.0000000,1010.4000000,1100.0000000,13025
SBGB,D,20200316,000000,1100.2000000,1100.2000000,1056.6000000,1087.6000000,4152
SBGB,D,20200317,000000,1090.0000000,1096.4000000,1086.4000000,1086.4000000,37487
SBGB,D,20200318,000000,1090.4000000,1098.8000000,1074.4000000,1074.6000000,5133
SBGB,D,20200319,000000,1096.0000000,1096.2000000,1065.0000000,1085.6000000,272765
SBGB,D,20200320,000000,1098.8000000,1125.8000000,1098.8000000,1102.8000000,24788
SBGB,D,20200323,000000,1080.8000000,1112.2000000,1048.4000000,1110.6000000,1214
SBGB,D,20200324,000000,1090.2000000,1138.6000000,1090.0000000,1132.0000000,1568
SBGB,D,20200325,000000,1147.4000000,1148.4000000,1132.2000000,1132.6000000,37715
SBGB,D,20200326,000000,1092.2000000,1145.6000000,1092.2000000,1136.0000000,20617
SBGB,D,20200327,000000,1158.6000000,1158.6000000,1134.8000000,1150.0000000,13280
SBGB,D,20200330,000000,1157.0000000,1159.6000000,1103.6000000,1145.0000000,116324
SBGB,D,20200331,000000,1159.0000000,1159.0000000,1136.0000000,1156.8000000,13354
SBGB,D,20200401,000000,1158.8000000,1159.0000000,1151.4000000,1157.6000000,1566
SBGB,D,20200402,000000,1159.8000000,1161.4000000,1151.0000000,1154.8000000,4156
SBGB,D,20200403,000000,1155.6000000,1158.2000000,1151.0000000,1158.2000000,3405
SBGB,D,20200406,000000,1177.0000000,1177.0000000,1154.0000000,1162.2000000,5555
SBGB,D,20200407,000000,1167.6000000,1176.0000000,1158.6000000,1159.0000000,2202
SBGB,D,20200408,000000,1141.4000000,1167.2000000,1141.4000000,1166.8000000,502119
SBGB,D,20200409,000000,1190.0000000,1190.0000000,1150.6000000,1169.4000000,2883
SBGB,D,20200410,000000,1192.6000000,1194.8000000,1161.2000000,1170.4000000,243214
